Time; Re_tau
0.471398228309273   6.757395694762725
22.522578502321217  13.729635595919236
44.573758776333165  20.70187549707575
66.6249390503451    28.199124462492623
88.67611932435705   43.793102303334166
110.72729959836899  83.35770223003122
132.77847987238096  129.1063571565849
154.82966014639288  161.8600185512005
176.88084042040484  181.21206623395292
198.9320206944168   193.6012252938452
220.98320096842872  203.21978965610958
243.03438124244067  211.53148268869379
265.08556151645263  219.4697332564473
287.13674179046455  227.25411074665408
309.1879220644765   234.87337930755226
331.23910233848846  242.289275263652
353.2902826125004   249.74409387476263
375.3414628865123   257.0358142852051
397.3926431605243   264.07698429711985
419.4438234345362   271.40060969132446
441.49500370854815  278.57212284337356
463.54618398256014  285.31615880506575
485.59736425657206  291.92472269101626
507.648544530584    298.2876671842566
529.6997248045959   304.6797801844704
551.7509050786078   310.8594087963791
573.8020853526198   317.078317662334
595.8532656266317   323.271970618543
617.9044459006436   329.11869524949174
639.9556261746557   334.98520549091603
662.0068064486676   340.9779602173675
684.0579867226795   346.95242723012143
706.1091669966914   352.6193954946084
728.1603472707034   358.3953132879463
750.2115275447153   365.70225110493624
772.2627078187272   371.5722530048147
794.3138880927393   377.0636874699182
816.3650683667512   382.61604883981937
838.4162486407631   387.95353013028574
860.467428914775    393.2770678966828
882.518609188787    398.8986644114266
904.5697894627989   404.04991324215786
926.6209697368109   409.66927061843035
948.6721500108229   415.1877209901877
970.7233302848348   420.63208010989575
992.7745105588467   425.9834894960131
1014.8256908328586  431.3361851299364
1036.8768711068706  437.15962897124354
1058.9280513808826  442.78036996898544
1080.9792316548944  448.28119365596905
1103.0304119289065  453.75892164446145
1125.0815922029183  459.1579039043825
1147.1327724769303  464.4771006363144
1169.1839527509424  469.72944483239735
1191.2351330249542  474.91364766478745
1213.2863132989662  480.0217976505874
1235.337493572978   484.8188134690917
1257.38867384699    489.9152036427078
1279.439854121002   494.72695559166146
1301.491034395014   499.3378861644599
1323.542214669026   504.2337234381844
1345.5933949430378  509.5067503436629
1367.6445752170498  514.5797487493951
1389.6957554910616  519.6934171781328
1411.7469357650737  524.9267761133575
1433.7981160390857  530.1994038106742
1455.8492963130975  534.9287967594017
1477.9004765871096  539.7601336173667
1499.9516568611214  544.671741140019
1522.0028371351334  549.7764133871354
1544.0540174091452  554.8453572664102
1566.1051976831573  559.7477687622053
1588.1563779571693  564.5303722603571
1610.207558231181   569.5625204030022
1632.2587385051932  574.4069240390694
1654.309918779205   579.2897132023737
1676.361099053217   583.9486331021453
1698.412279327229   588.7595064431795
1720.4634596012409  593.8859110202226
1742.514639875253   598.9266411841877
1764.5658201492647  604.2065674429632
1786.6170004232767  609.1716632092298
1808.6681806972886  614.0212856043564
